"advisor_raw","n_tesis","n_programas","anio_min","anio_max","programas","ejemplo_titulo","advisor_canonical_sugerido","metodo_sugerencia","notas"
"Dr. Carlos Alfonso Pérez Ricart",1,1,2025,2025,"Ciencia Política y Relaciones Internacionales","La accidentada ruta de la justicia: reparación del daño a las víctimas de la Guerra Sucia","Carlos Alfonso Pérez Ricart","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Carlos Antonio Heredia Zubieta",1,1,2019,2019,"Ciencia Política y Relaciones Internacionales","Las políticas migratorias restrictivas en países de tránsito: el caso de México, 2000-2017","Carlos Antonio Heredia Zubieta","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Carlos Elizondo Mayer Serra",1,1,2011,2011,"Ciencia Política y Relaciones Internacionales","La lógica política detrás de los subsidios al agua en la Ciudad de México","Carlos Elizondo Mayer Serra","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Carlos Enrique Garcia Tejeda",1,1,2026,2026,"Derecho","Cálculo de los daños punitivos en México: una propuesta desde el análisis económico del derecho","Carlos Enrique García Tejeda","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Carlos J. Vilalta",1,1,2016,2016,"Administración y Políticas Públicas","Política de prevención del delito en México: una aproximación desde la seguridad ciudadana","Carlos J Vilalta","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Carlos Vilalta Perdomo",1,1,2012,2012,"Administración y Políticas Públicas","El perfil de las víctimas de extorsión telefónica en el Distrito Federal y Estado de México: correlativos sociodemográficos","Carlos Javier Vilalta Perdomo","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Carlos Villalta Perdomo",1,1,2014,2014,"Derecho","Mediación familiar obligatoria previa a un litigio desgastante: propuesta judicial","Carlos Javier Vilalta Perdomo","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Christian Omar Velasco Reyes",1,1,2024,2024,"Historia Internacional","Tecnologías participativas y transmisión de conocimiento en tiempos de wikipedia: el caso de la historia de la animación mexicana","Christian Omar Velasco Reyes","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Claudio López Guerra",1,1,2011,2011,"Ciencia Política y Relaciones Internacionales","Derechos políticos y nacionalidad: en defensa de su separación","Claudio López Guerra","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Claudio López-Guerra Fernández",1,1,2011,2011,"Ciencia Política y Relaciones Internacionales","La controversia de las caricaturas danesas: un argumento pragmatista sobre los lí­mites de la libertad de expresión","Claudio López Guerra Fernández","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. César Guerrero Luchtenberg",1,1,2006,2006,"Economía","Desarrollo sustentable: situaciones y comportamientos básicos","Cesar Guerrero Luchtenberg","clave_de_alias","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. César Renteria Marín",1,1,2025,2025,"Administración y Políticas Públicas","Innovación y gobernanza en la recaudación de la economía digital: límites del modelo de recepción de pagos en México","César Rentería Marín","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Daniel Ventosa - Santaulària",1,1,2016,2016,"Economía","Determining causal inference in linear and non-linear time-series using convergent cross mapping: an application of government expenditure and economic growth relation in Mexico 1980-2015","Daniel Ventosa Santaulària","clave_de_alias","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. David Arellano Gault, Codirectora Dra. Laura Zamudio González",1,1,2018,2018,"Administración y Políticas Públicas","Regulación suave desde una metaorganización: el caso de los objetivos de desarrollo del milenio","Codirectora Dra Laura Zamudio González David Arellano Gault","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. David Heres",1,1,2020,2020,"Políticas Públicas","Towards the governance of non-renewable resources in Mexico","David Heres","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. David Madero Suárez",1,1,2021,2021,"Economía","Colocación estratégica de activos aplicada al Sistema de Ahorro para el Retiro mexicano","David Madero Suárez","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. David Peña Rangel",1,1,2024,2024,"Ciencia Política y Relaciones Internacionales","Es sólo un número: derecho al voto para menores de edad","David Peña Rangel","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Eduardo Sojo Garza-Aldape",1,1,2018,2018,"Políticas Públicas","Clusters de pobreza: una alternativa para el diseño de políticas públicas","Eduardo Sojo Garza Aldape","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Enrique García Tejeda",1,1,2023,2023,"Derecho","De la hipoteca inversa: un complemento pensionario en México","Enrique García Tejeda","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Ernesto Calvo",1,1,2024,2024,"Ciencia Política","Explaining extremism from behavior and preferences? Consistency and participation on social media","Ernesto Calvo","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Eugenio Rivera",1,1,2004,2004,"Administración y Políticas Públicas","La política de información en México: el imperativo de una política pública nacional","Eugenio Rivera","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Eugenio Rivera Urrutia",1,1,2005,2005,"Administración y Políticas Públicas","Las licitaciones en la provisión de infraestructura pública: evaluación del proyecto de los segundos pisos en Viaducto y Periférico en la Ciudad de México","Eugenio Rivera Urrutia","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Fernando Alarid Escudero",1,1,2021,2021,"Métodos para el Análisis de Políticas Públicas","COVID-19 excess mortality and the cost-effectiveness of treatments options in COVID-19 hospitlized patients","Fernando Alarid Escudero","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Ferran Martínez I. Coma",1,1,2009,2009,"Ciencia Política y Relaciones Internacionales","¿Son los votantes probables los que acuden a las urnas el día de la elección?","Ferrán Martínez I Coma","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Ferrán Martínez I Coma",1,1,2008,2008,"Ciencia Política y Relaciones Internacionales","El mito del multilateralismo mexicano: ¿por qué existe una ambivalencia entre los mexicanos y sus líderes respecto a su relación con la ONU?","Ferrán Martínez I Coma","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Fidel González González",1,1,2005,2005,"Economía","Elaboración de índice de precios de vivienda SHF","Fidel González González","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Florian Chávez-Juárez",1,1,2019,2019,"Administración y Políticas Públicas","El rol de la confiabilidad y las redes sociales en el comportamiento de ahorro y préstamo de los hogares en México","Florian Wendelspiess Chávez Juárez","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Francisco A. Galindo Maldonado",1,1,2024,2024,"Políticas Públicas","Configuración de agenda: coaliciones promotoras del bienestar animal en la producción pecuaria en México y Colombia","Francisco A Galindo Maldonado","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Francisco J. Cabrera Hernández",1,1,2024,2024,"Economía","The effect of minimum wage on poverty and household income in Mexico: an empirical analysis","Francisco Javier Cabrera Hernández","clave_de_alias","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Francisco J. Sales Heredia",1,1,2006,2006,"Ciencia Política y Relaciones Internacionales","La relación entre condiciones objetivas y condiciones subjetivas de la pobreza","Francisco J Sales Heredia","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Francisco Javier Rojas Ruiz",1,1,2018,2018,"Ciencia Política y Relaciones Internacionales","El desarrollo de la competencia cívica de los jóvenes en México: el efecto de la conversación política con profesores y padres de familia","Francisco Javier Rojas Ruiz","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Francisco Sales Heredia",1,1,2005,2005,"Ciencia Política y Relaciones Internacionales","Los alcances de la teoría de las capacidades en una política pública concreta: Oportunidades en nutrición infantil","Francisco J Sales Heredia","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Francisco Venegas Martínez",1,1,2009,2009,"Economía","Un modelo estocástico de crecimiento endógeno y tamaño de gobierno","Francisco Venegas Martínez","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Gabriel L. Negretto",1,1,2007,2007,"Ciencia Política y Relaciones Internacionales","La rendición de cuentas electoral en el Distrito Federal: ¿cuestión de bienes públicos o privados?","Gabriel L Negretto","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Gabriela Pérez Yarahuán",1,1,2019,2019,"Administración y Políticas Públicas","Análisis de focalización del Programa Apoyo a la Vivienda: (2016-2018)","Gabriela Pérez Yarahuán","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Gerardo J. Maldonado Hernández",1,1,2018,2018,"Ciencia Política y Relaciones Internacionales","¿El lugar de la mujer es en la casa?: opinión pública con respecto a los roles de género","Gerardo De Jesús Maldonado Hernández","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Gilles Bataillon",1,1,2016,2016,"Historia Internacional","La Junta de Coordinación Revolucionaria (JCR): el internacionalismo proletario del cono sur, 1972-1977","Gilles Bataillon","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Guillermo Trejo",1,1,2004,2004,"Ciencia Política y Relaciones Internacionales","Protesta postelectoral en municipios de usos y costumbres en Oaxaca, 1992-1998","Guillermo Trejo","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Hector M. Bravo Pérez",1,1,2004,2004,"Administración y Políticas Públicas","Los programas de empleo público trabajar y garantía de empleo: lecciones para el diseño del programa de empleo temporal (PET)","Héctor Manuel Bravo Pérez","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Héctor Núñez Amórtegui",1,1,2019,2019,"Economía Ambiental","Willingness to pay for renewable energy by the residential sector in Aguascalientes","Héctor Mauricio Núñez Amórtegui","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Héctor Raúl Pacheco Vega",1,1,2017,2017,"Políticas Públicas","Prevención, resolución y/o transformación de conflictos en torno al agua: avances para una política pública integral y efectiva en México","Héctor Raúl Pacheco Vega","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Irvin Rojas",1,1,2023,2023,"Economía","Sembrando Vida: una evaluación de impacto sobre la cobertura forestal","Irvin Rojas","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Javier Laynez Potisek",1,1,2018,2018,"Derecho","La rescisión administrativa de los contratos de exploración y extracción de hidrocarburos en relación con el objetivo de atraer inversiones","Javier Laynez Potisek","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Javier Sánchez",1,1,2004,2004,"Administración y Políticas Públicas","La evaluación del desempeño como instrumento para encontrar el equilibrio burocrático en la organización: el caso de la Comisión Nacional de Derechos Humanos","Javier Sánchez","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Jonas Von Hoffmann",1,1,2024,2024,"Políticas Públicas","Judicialización de la política cannábica en México: efectos políticos y prácticos de las intervenciones de la SCJN (2008-2023)","Jonas Von Hoffmann","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Jonas Vonhoffman",1,1,2023,2023,"Políticas Públicas","Normando el contenido: efectos de las leyes que regulan la propaganda tradicional y virtual durante campañas electorales","Jonas Vonhoffman","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Jorge Chabat",1,1,2014,2014,"Ciencia Política y Relaciones Internacionales","Influencia de grupos de interés en la política de control de drogas","Jorge Chabat","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Jorge Chabat Madrid",1,1,2006,2006,"Ciencia Política y Relaciones Internacionales","Elecciones y cooperación ambiental: el agua compartida entre Estados Unidos y México","Jorge Luis Chabat Madrid","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Jorge Culebro Moreno",1,1,2007,2007,"Administración y Políticas Públicas","El proceso de incorporación al servicio profesional electoral del IFE: límites y potencialidades","Jorge Culebro Moreno","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Jorge G. Durand Arp-Nisen",1,1,2010,2010,"Administración y Políticas Públicas","Familias migrantes sin remesas: análisis del Programa Recíproco para el Cobro de Pensiones Alimenticias, UIFSA","Jorge G Durand Arp Nisen","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Jorge Luis Chabat Madrid",1,1,2012,2012,"Ciencia Política y Relaciones Internacionales","Visión estadista sobre guerra y liberalismo: el caso de Estados Unidos","Jorge Luis Chabat Madrid","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Jose Jaime Sáinz Santamaría",1,1,2021,2021,"Economía Ambiental","Determinantes económicos de los tiraderos clandestinos: efectos heterogéneos de la recolección de residuos","José Jaime Sainz Santamaría","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. José Antonio Caballero",1,1,2021,2021,"Periodismo sobre Políticas Púbicas","Desaparecidas: hacia una perspectiva de género en las investigaciones de la violencia contra las mujeres","José Antonio Caballero","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. José Jaime Sainz Santamaria",1,1,2018,2018,"Gerencia Pública","Un sistema de certificación de las prácticas comerciales de los proveedores y el mejoramiento del respeto a los derechos de los consumidores en México: un nuevo paradigma de protección al consumidor","José Jaime Sainz Santamaría","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. José Jaime Sáinz Santamaría",1,1,2025,2025,"Métodos para el Análisis de Políticas Públicas","El reúso de aguas tratadas en Aguascalientes: un análisis prospectivo desde la teoría del cambio de proceso","José Jaime Sainz Santamaría","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. José Ramón Cossío Díaz",1,1,2016,2016,"Derecho","La relación normativa entre los tratados internacionales de derechos humanos y la constitución: un análisis de la operatividad de nuestro parámetro de regularidad","José Ramón Cossío Díaz","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. José Ramón Gil",1,1,2014,2014,"Políticas Públicas","La intensidad de las políticas públicas para el control del tabaco","José Ramón Gil","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Juan Cortiñas Barajas",1,1,2019,2019,"Derecho","La ineficiencia económica de la notificación al deudor cedido","Juan Cortiñas Barajas","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Juan Fernando Ibarra Cueto",1,1,2013,2013,"Administración y Políticas Públicas","Relaciones intergubernamentales en políticas de equidad educativa: elaborando un modelo de cooperación","Juan Fernando Ibarra Del Cueto","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Juan Manuel Mecinas Montiel",1,1,2017,2017,"Administración y Políticas Públicas","Valores en conflicto y reinserción social: el caso de los programas educativos en los sistemas penitenciarios de Ciudad de México y Morelos","Juan Manuel Mecinas Montiel","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Juan Pablo Guerrero Amparán",1,1,2001,2001,"Administración y Políticas Públicas","El convenio de desempeño en México","Juan Pablo Guerrero Amparán","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Juan Ramon Hernández González",1,1,2025,2025,"Economía","A macroeconometric approach to modelling interaction between real and financial cycles in Mexico","Juan Ramón Hernández González","clave_de_alias","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Juan de Dios Enrique Rosellón Diaz",1,1,2010,2010,"Economía","Economic optimization of wind resources on the mexican electric power system","Juan De Dios Enrique Rosellón Díaz","clave_de_alias","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Juan de Dios Rosellón",1,1,2021,2021,"Economía","Impacto de COVID-19 sobre el consumo eléctrico de las PYMES de la Zona Metropolitana de Aguascalientes","Juan De Dios Rosellón","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Juan de Dios Rosellón Díaz",1,1,2016,2016,"Economía","Estudio de los regímenes regulatorios en tarifas de transmisión del mercado eléctrico mexicano","Juan De Dios Enrique Rosellón Díaz","clave_de_alias","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Julio Antonio Ríos-Figueroa",1,1,2011,2011,"Ciencia Política y Relaciones Internacionales","Control constitucional y nivel de gobierno: el papel de la Suprema Corte de Justicia de la Nación en la conformación del federalismo en México","Julio Antonio Ríos Figueroa","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Julio César Leal Ordoñez",1,1,2012,2012,"Economía","El proceso de cambio estructural en México","Julio César Leal Ordóñez","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Kirsten Albrechtsent de Appendini",1,1,2004,2004,"Ciencia Política y Relaciones Internacionales","La seguridad alimentaria y la producción de maíz en un entorno de mercado y políticas de estado: un estudio de caso","Kirsten Albrechtsent De Appendini","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Kurt Francisco Unger Rubín",1,1,2010,2010,"Economía","Análisis de la especialización estatal en México","Kurt Unger Rubín","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Luis Enrique Santiago García",1,1,2023,2023,"Políticas Públicas","De la forma a la competitividad: cómo la planificación urbana puede definir el éxito de las ciudades","Luis Enrique Santiago García","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Luis Miguel de la Calle Robles",1,1,2020,2020,"Ciencia Política","Fusiles en alto: determinantes políticas de la consolidación de los movimientos guerrilleros en América Latina (1960-1996)","Luis Miguel De La Calle Robles","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Luis Rubalcava Peñafiel",1,1,2021,2021,"Economía","Remesas como red de seguridad familiar para hacer frente a la pandemia de COVID","Luis Napoleón Rubalcava Peñafiel","clave_de_alias","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. M. Camila Angulo Amaya",1,1,2023,2023,"Ciencia Política y Relaciones Internacionales","El alebrije frente al espejo: cooperación entre el estado y las autodefensas","M Camila Angulo Amaya","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Manlio Castillo Salas",1,1,2019,2019,"Administración y Políticas Públicas","Los asentamientos irregulares en la Ciudad de México y la importancia de la definición de los problemas públicos","Manlio Felipe Castillo Salas","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Manlio F. Castillo Salas",1,1,2023,2023,"Gestión Pública","Análisis del impacto económico de las Mipymes del Estado de Hidalgo a causa de la pandemia del COVID-19: caso “Hidalgo más fuerte”","Manlio Felipe Castillo Salas","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Marcelo Bergman Harfin",1,1,2005,2005,"Ciencia Política y Relaciones Internacionales","Cultura de la legalidad en México: percepciones sobre el acatamiento de normas","Marcelo Bergman Harfin","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Matthew Adam Kocher",1,1,2008,2008,"Ciencia Política y Relaciones Internacionales","Reclutamiento de insurgentes y el dilema de acción colectiva: un enfoque de modelado basado en agentes","Matthew Adam Kocher","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Matthew Kocher",1,1,2007,2007,"Ciencia Política y Relaciones Internacionales","La influencia de la opinión pública en la estrategia del reforzamiento fronterizo para frenar la migración ilegal","Matthew Adam Kocher","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Mauricio Alejandro Rivera Celestino",1,1,2017,2017,"Políticas Públicas","Los motivos importan: el efecto del desempleo sobre el crimen violento en México, 1996 a 2014","Mauricio Alejandro Rivera Celestino","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Mauricio Hernández Avila",1,1,2005,2005,"Economía de la Salud","El consumo de tabaco y alcohol en jóvenes de zonas urbanas marginadas. Un análisis de sus determinantes socioeconómicos","Mauricio Hernández Avila","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Mauricio Iván Dussauge-Laguna",1,1,2021,2021,"Políticas Públicas","Organizational reputation and staff retention in the constitutional autonomous agencies in Mexico","Mauricio Iván Dussauge Laguna","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Mauricio Rivera Celestino",1,1,2017,2017,"Políticas Públicas","Violaciones de derechos humanos y el salario de policías municipales y estatales en México 2010-2015","Mauricio Alejandro Rivera Celestino","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Michael Sauter",1,1,2016,2016,"Historia Internacional","Nuevos espacios de sociabilidad en las ciudades: las casas de café en Londres y la Ciudad de México (1793-1855)","Michael J Sauter","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Michael Sauter Mistele",1,1,2010,2010,"Ciencia Política y Relaciones Internacionales","Las campañas presidenciales en Estados Unidos: participación electoral y uso de internet en 2004 y 2008","Michael Johannes Sauter Mistele","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Miguel Adolfo Guajardo Mendoza",1,1,2023,2023,"Administración y Políticas Públicas","Sistema de gestión del conocimiento para el caso del gobierno municipal de San Luis Potosí","Miguel Adolfo Guajardo Mendoza","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Miguel Rabágo Dorbecker",1,1,2023,2023,"Derecho","Ciberacoso y libertad de expresión: una discusión sobre el problema del ciberacoso escolar y sexual en México","Miguel Rábago Dorbecker","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Miguel Ángel Aguilar López",1,1,2011,2011,"Derecho","Aplicación de los artículos 478 y 479 de la Ley General de Salud","Miguel Ángel Aguilar López","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Oliver D. Meza",1,1,2018,2018,"Gerencia Pública","Pequeños cambios que generan buenos resultados: el estudio de caso de cómo mejorar la eficacia de los convenios de colaboración de los gobiernos a través de ajustes marginales en su implementación","Oliver D Meza","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Oliver Meza Canales",1,1,2021,2021,"Políticas Públicas","Consolidación de la corrupción en el municipio de los Cabos","Oliver David Meza Canales","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Omar Alejandro Loera-González",1,1,2025,2025,"Ciencia Política y Relaciones Internacionales","Alzar la voz: el efecto de los movimientos feministas en la política exterior mexicana","Omar Alejandro Loera González","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Oscar Salvatore",1,1,2025,2025,"Métodos para el Análisis de Políticas Públicas","Desempeño de las exportaciones de aguacate mexicano, una aproximación a la teoría de gravedad del comercio internacional","Oscar Salvatore","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Pablo Manuel Chauca Málasquez",1,1,2006,2006,"Administración Pública","Evaluación de la gestión hacendaria en municipios de México: el caso del municipio de Morelia, Michoacán, 1980-2003","Pablo Manuel Chauca Málasquez","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Pablo Mijangos",1,1,2011,2011,"Ciencia Política y Relaciones Internacionales","La religión y la polí­tica exterior en Estados Unidos: el caso de la guerra contra el terrorismo","Pablo Mijangos","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Pavel Gómez Granados",1,1,2025,2025,"Gestión Pública","Reingeniería de atención ciudadana en San Pedro Garza García, Nuevo León","Pavel Gómez Granados","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Pedro Salazar Ugarte",1,1,2012,2012,"Derecho","El reconocimiento del veto presidencial al Presupuesto de Egresos de la Federación","Pedro Salazar Ugarte","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Rafael Elias Rojas Gutiérrez",1,1,2020,2020,"Historia Internacional","Las redes intelectuales del Fondo de Cultura Económica: la colección Tierra Firme, 1941-1956","Rafael Elías Rojas Gutiérrez","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Rafael Garduño Rivera",1,1,2017,2017,"Políticas Públicas","El impacto de los clusters en el crecimiento económico municipal el caso de México","Rafael Garduño Rivera","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Rafael Rojas",1,1,2020,2020,"Historia Internacional","Bolivia y Perú en la Guerra Fría latinoamericana: los límites de la política exterior del nacionalismo-revolucionario-militar, 1968-1971","Rafael Rojas","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Rafael Velazquez",1,1,2009,2009,"Ciencia Política y Relaciones Internacionales","Paradiplomacia y la atracción de inversión extranjera directa en México","Rafael Velazquez","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Raúl Anibal Feliz Ortiz",1,1,2020,2020,"Economía","El efecto de la incertidumbre en la volatilidad de tasas de interés: bonos y udibonos","Raúl Aníbal Feliz Ortiz","clave_de_alias","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Raúl Cipriano González",1,1,2011,2011,"Ciencia Política y Relaciones Internacionales","Los efectos electorales de los compromisos de Enrique Peña Nieto: votación prospectiva y retrospectiva","Raúl Cipriano González","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Ricardo Alberto Ortega Soriano",1,1,2020,2020,"Derecho","Deficiencias en la incorporación de la perspectiva de género en el sistema judicial de México: análisis de casos y metodologías","Ricardo Alberto Ortega Soriano","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
